ritual_number,paragraph
61,"The bones of the deceased and the basket in which they will be placed, ready for the final burial in the water. Aldeia, takes it to the hut of the deceased, and there it is hung on a pole set in the ground for this purpose. Meanwhile a boe eimigera sings the marenaruie and later the jure dogue One morning the one who takes the part of uiaddo , together with the relatives of the dead one, takes the basket of bones, goes to a nearby river or lagoon already determined. There, where the waters are deeper, they lower the basket and fix it fast on the bottom with a stick which comes out of the water. This lagoon is the aroe iao , “dwelling of the souls.” During the time of the funeral, many Indians adorn themselves, painting themselves completely in red or fitting on the body, especially on the head, ornaments prepared previously. Many others fasten multicolored feathers directly to the body with the resin called kiddoguru : the feathers stay so secure that they become loose only after many days. For this reason, weeks after the funeral, one sees men and women with remnants of ornaments. The type of feathers used and their arrangement vary according to the clan to which they belong."
62,"Ritual associated with the spirit power ‘Flaming bones’, involving the tying of a corpse of an enemy to a tree and giving offerings. If a corpse is not obtainable, then the image of a person is carved into a breadfruit. This ritual/sorcery is thought to make enemies sick."
63,"Breadfruit ceremony, to increase fertility of breadfruit. Involves the repeated sailing and racing of toy boats on the sea"
64,"Poison oracle, benge. Poison oracle consulted on a regular basis in important collective undertakings, in all crises of life, in all serious legal disputes, in all matters strongly affecting individual welfare, divination of witchcraft, in cases of adultery, before a journey, before hunting, before marriage. One of the party acts as questioner. Benge powder is mixed with water and the operator holds a fowl between his toes by its wings and squeezes some benge down its throat, shaking its head up and down so that it cannot avoid swallowing it. Then the questioner, who sits opposite the operator, starts to address the fowl, and in about another two minutes the operator administers another dose, following it with a third if the fowl is a large one. The questioner meanwhile reiterates his question in different forms, but always speaking to the benge inside the fowl, and always ending with one of the two forms of words: “ if such is the case, poison oracle kill the fowl,” or “ if such is the case, poison oracle spare the fowl.” When the last dose has been administered, the questioner works up to an oratorical climax, orders the operator to release the fowl, and, still talking, closely observes the movements of the bird. Some fowls vomit and die in a spasm almost immediately, some die shortly afterwards, and others seem to be unaffected by the poison. If the fowl dies a wing is cut off to use as evidence"
65,"Maziga ceremony. The prince, Gangura, had consulted his poison oracle to find out whether the epidemic would cease if the maziga ceremony were held, and learning that this would be the result he sent for a well-known ghost-diviner and instructed her to commence the ceremony, which she organised with the aid of several other women ghost-diviners. In the early morning the women of several settlements collected in the house of the leading ghost-diviner and from there commenced to visit neighbouring cultivations through which they charged, rushing in all directions, shouting and singing, and swinging sticks into the air to bring them down with strokes to the earth in time to their songs. Besides sticks they carried in their hands leaves of manioc, sweet potatoes, and other food plants which they gathered from homesteads and cultivations as they passed through them. They were preceded in this romp through gardens and cultivations by a small boy beating on a leather-topped drum. Men kept out of their way partly because it was not their business to take part in a woman’s ceremony and partly because the women become excited and do not observe, indeed are not expected to observe, the usual rules of seemly conduct. The spirit-diviners and others among the women who accompany them perform a kind of belly dance which in ordinary times would be considered indecent and would not be allowed. I was told also that these ghost-diviners may make obscene gestures with their hands and utter expressions which are only permitted on rare occasions of prescribed licence. The women finally gathered together in a homestead at the edge of the settlement in which I lived and I hurried out to meet them as soon as I heard that they were there. Only women took part in the ceremony and the few men who, like myself, were onlookers, happened to live nearby and could hardly have avoided being spectators. On the whole they seemed to regard the antics of the women as a joke. These were dancing wildly in the centre of the homestead and one of them was now beating the drum. They waved leaves of food plants in their hands and beat the ground with sticks singing various songs. During the singing and dancing the leading ghost-diviner became possessed with ghosts and twitched and trembled and shook as though she had convulsions. Some of the other women beat her on the back and poked their fingers into her ears. They must have danced [23] thus for half an hour when, preceded by the leading ghost-diviner, they rushed off at the double along a path to a stream singing. On arrival at the stream head they continued to sing for a while and to beat the drum. Page: 21-23(3) Finally they cleared an open space on the floor of a shallow chasm at the head of the stream. At this point the leading ghost-diviner swooned in convulsions, and the ceremony came to a conclusion."
66,"Healing ritual in ecstatic churches. In healing services it always takes a long time to build up the necessary spiritual or suggestive atmosphere. Singing, long preaching and praying, and at some centres speaking in tongues precedes it. The congregation is made to participate in the proceedings. They may pray aloud each to his own words, the sound being like the roaring of surf. They are “welded” together into a sort of power-field by laying-on of hands by an officiating prophet who is in a trance under the influence of the Holy Spirit. Palm-branches may be given to the congregation. At another prophet's centre people queue up, sing and are sprinkled with holy water. This they carefully rub in, the women opening up their blouses so as to present their breasts to the precious liquid. Then they are given some of the holy water to drink. During this lengthy process the prophet moves around and inspires the singing and drumming of the band, until the whole congregation, gently swaying, has coalesced into one mystical body. This conveys to the devotee a feeling of security and importance. Only after these preparations does the actual direct treatment begin. This may consist of a symbolic rubbing in of holy oil on the front, the ears, the toes and the hands of the patient, thus symbolizing the healing power of Christ over the five senses and the whole of life. The prophet massages liniment and holy water on his patients during his healing services. He stares at them in a hypnotic way, takes a mouthful of water and spits it right into the face of the patient to confound the evil power of the disease. He lays on his hand, then suddenly whips it away. Towards the end of the treatment, he puts his arms around the patient, lifts him bodily from the ground, so that the spirit of disease cannot get reinforcement from the earth. He squeezes the patient energetically in order to force out the disease. Occasionally he looks at the hands of the patient, to see whether there is still evil power in him."
67,"Exorcism. After a long service (preaching, announcement, testimony of an old woman said to have been raised from the dead, ordination of ministers for his church) the prophet announced that the evil spirits would now be driven out. A group of church officers and priests busied themselves gathering particulars from about forty men, women and children all eager to confess and to have their supposed witch spirits evicted. They were all lined up in rows, facing “towards Sierra Leone”. Anyone who happened to be looking in the Sierra Leone direction was warned to keep out of the way for a while lest the fleeing spirits might possess one of them. The congregation struck a hand-clapping hymn, accompanied by a band, and in this way obviously built up the psychological pressure on the “witches”, who had already been instructed to kneel down. The prophet and one or two priests moved among them, here and there putting one hand on the head of a witch, and pointing with the other in the direction of “Sierra Leone”, commanding the witch spirit to go there. Some of the witches began to tremble under the psychic stress, and this was taken as a sign that the unclean spirits were beginning to feel uneasy in their bodies. Those spirits who persisted in resisting the prophet's influence shook their owners so severely that they fell writhing on the ground, and remained there quivering for some time. In such severe cases, the prophet or one of his assistants would sprinkle holy sand on them, particularly on their shaking limbs. By close observation, the prophet established the exact spot on limbs or head through which the witch spirit had departed. This danger point was anointed with holy oil and sacred sand to provide special protection against the counter attack. When the treatment was over, the patients lay supine like so many corpses. They were soaked by a rainstorm which had set in during the process of exorcism, and more sand was laid on to symbolize their “burial”, because they were considered as ritually “dead and buried with Christ”, so the prophet told me. Not all the witches, however, reacted so violently as this, more than half of them remained kneeling and shook only moderately or not at all. “Their witch spirits are not so bad and leave earlier” I was told. The ceremony eventually came to an end. Those “dead and buried” were “raised up to new life” by the prophet or one of the priests who pulled them to their feet. Some, however, were so far gone in their stupor that they could not be reawakened to consciousness so easily, and were carried off to the adjoining rooms."
68,"Exorcism of witch spirits before the Kune shrine. This is how Mr. Akesson describes the exorcism of witch spirits before the Kune shrine, in his manuscript “Gold Coast Fetishism Explained”: “After a victim's confessions have been heard and his sacrifice of a fowl has been accepted by the fetish, a day is fixed for the final exorcism. The linguist mixes red clay with water and brings with it an old sweeping broom. The victim sits in front of the male fetish. The linguist dips the broom into the liquid and gently strikes the top of the victim's head three times saying: ‘Yeyi wo bayie’ (we drive out your witchspirit). In the same manner, the face and the joints of the victim are struck thrice daily. After this the victim is asked to stand facing his house or town. The linguist then holds the neck and pushes him to give him a start to run away to his house without looking behind. As he runs away, the spectators hoot at him at the top of their voices until the victim has disappeared. This done, the patches of hair on his head are cut off for him by one of the fetish servants”."
69,"Apo festival is celebrated yearly; it is a feast of eight days duration in which complete lampooning liberty (in the form of song) of both superiors and inferiors (without punishment) is given. The people explain that if one's sunsum is hurt, the body becomes ill; often ill health is caused by evil and the hatred another person may have for you. In like manner, if you have a hatred for someone, it affects your own sunsum, so this time is set aside to allow any man to tell any other man what has offended him. During this festival there is theoretical sexual license; this isn't really taken. The festival period is, in fact, a period of coming together in which the people from all over the Techiman traditional area, including well-wishers and invitees from other states, meet in the capital to display the traditional Bono culture through singing, dancing, and drumming."
70,Bono Festival; the Yam Festival
71,"Monocot ceremony every forty-two days involving libations to ancestral stools. In the afternoon, each of the elders returns to Taa Mεnsah's palace with schnapps or pots of palmwine. The drinks are used to pour libations for each of the chiefs, after which they drink together, drums are beaten, and they dance."
72,"At the last Monokuo for the year, the manhene pours a libation on the god. On all other occasions during the year they only go to greet the god and then return to their houses."
73,"Rainmaking ritual, involving orchestra and group climbing mountain and leaving frogs to dry out. Gods take pity on frogs and send rain."
74,"The coqela ceremony is performed regularly by the Peruvian Aymara. Although representing the ritual hunting of the vicuña, it takes place after the harvest and is designed to produce large crops the following year. It is performed on hilltops. The group of performers consists of a chorus of women who do a posture dance and sing, carrying poles connected by woolen cords representing the vicuña fence (see Hunting, p. 519), an orchestra of men with special end-flutes and drums, a group of masked clowns led by a white magician ( paqo ), and a man who dances with a stuffed vicuña skin. A song describing the ritual hunting of the vicuña must be rendered letter perfect, while the masked clowns pantomine the hunt. These clowns wear fur inasks and caps and hairloom ponchos decorated with tufts of fur and carry slings and miniature bolas. They mock the bystanders and occasionally are obscene. They may not talk during the performance, but must communicate by grunts. These clowns, said by some to represent supernatural beings. The man who dances with the stuffed vicuña imitates the antics of this animal. The rite culminates when the paqo sacrifices the vicuña and produces blood, meat, and intestines by sleight-of-hand. He also makes an offering to the place spirit to bring benefits to the community during the following year. Following this, the vicuña is magically revived and the rite is terminated."
75,"A festival, called alasita , for the good-luck fertility spirit, eq'eq'o is performed everywhere in Aymara territory. Often it takes place in fixed spots where miniature stone houses are built and repaired each year. The houses are filled with miniature clay animals, utensils, implements, and articles of clothing in order that the owner may acquire all of these things during the following year. A mock market is held during which the objects are bought and sold with potsherds. They are later given to the children for toys. The fiesta is accompanied by considerable sexual license among the younger Aymara"
76,"House Dedication Rite, wilanca. Aymara hold dedicatory ceremonies, usually when the house foundations are excavated and not infrequently again when the structure is ready to be roofed"
77,"General Propitiatory Rite, mesa loqaña. A mesa may be offered in such diverse contexts as the curing of disease, the prevention of death and destruction from lightning, and the promotion of good will among relatives. It may prevent sorcery or theft, insure an abundant harvest and the fertility of livestock, or guarantee success in fishing"
78,"Animal Increase Rite, uiwataki mesa loqaña, to increase the fertility of animals. The occasions on which these ceremonies are held in the pastoral ayllus of Chucuito are variable. Rites to increase the flocks of sheep may be performed on San Juan's Day (June 24); for cattle during the fiesta of Trinidad (May); and for liamas and alpacas at the time of the fiesta of San Andrés (December). Increase rites designed to promote the fertility of ail livestock may be held on Christmas Day. Increase ceremonies are also performed in the mating season of llamas and alpacas (July), at branding (during Carnival, in February or March), and at shearing time (December). In addition, animal increase rites may be held whenever a stockbreeder feels that his flocks are, or have been, threatened. With minor variations, the above-mentioned increase ceremonies are extremely similar, irrespective of the class of animal for which they are held."
79,"Animal making', uiwa laraña, On the eve of San Juan's day (June 24) grass fires are lighted in the hills and in the corrals “to warm the animals.” Miniature animals are also modeled of quinoa dough, k'ispiña, on this day and placed in small bowls, representing corrals, formed of the same material. If you do this, you will always have many sheep"
80,"First fruit ritual: Potato harvest rite. Takes place the day before the fiesta of Espíritu in May. During the harvest season the largest and most perfect specimens of vegetables and grains are selected and set aside for the ceremony. informants were not always clear as to whether these offerings during this ritual were intended for perfect vegetables, the place spirit, or for both. The client and all present then offer a k'intu of coca each, and the magician prays that food will always be abundant. While the paqo burns the offerings in the patio of the house, buries the ashes, and marks the spot with a flat stone, everyone present dances to the music of panpipes and drums, each carrying some of the perfect vegetables in a carrying cloth on his back. It is as though the potatoes were dancing; they are making the fiesta for the potatoes. The next morning, at sunrise, an animal is sacrificed outside the doorway of the house. The blood of this sacrifice, called “blood for the food,” is collected in sea shells, and libations of it are offered to the east, the house, and to the perfect vegetables. The llama is then cut open and the spleen is inspected to divine the future of the client."
81,"Divinatory agricultural rite. This does not necessarily require the services of a magician, is performed for the growing potatoes during Carnival. The owner of a field burns coca, llama fat, and q'oa in a ring of manure, open to the east, as an offering to the place spirit. Following this a perfect potato plant is uprooted and the potatoes counted off in two's to divine the outcome of the crop. An even number signifies an abundant harvest, while an odd number presages a poor crop. The plant is then replanted and sprinkled with wine, after which the owner and his friends feast and dance"
82,"Compadre ritual. Compadre and comadre are reciprocal terms that designate, respectively, the father and mother of one's godchild, ahijado. Compadre relationships are here initiated on three principal occasions: (1) at the baptism of an infant; (2) at a child's first haircutting; and (3) at marriage. Since each of a man's children may have different padrinos, or godparents, on each of these occasions, any individual may have a considerable number of compadre. The avowed purpose of the ceremonies is to reaffirm the cordial relations that should, in cultural theory, prevail between compadres, they have this fiesta so that all will be good and nothing will be bad; so that they will have good animals and crops, and so that they will be on good terms with each other. Usually the ceremony is good for 10 years, but some people have it every year. If the ceremony is very solemn, it lasts for more years."
83,troka ritual performed in event of epidemic to cure patient and banish disease. Patient is place in bed with silver coins and food so evil can pass into them. Then patient is carefully bathed in alcohol and water. Bath water and valuables deposited in isolated place
84,"Whenever an Aymara does anything of importance in his life he always precedes it with a propitiatory offering or sacrifice called link[unknown]a. On beginning any important agricultural activity, before fishing, or hunting, or building a house, making a journey, or even making a purchase, the Aymara performs this little ritual. Usually it consists in making a libation of a few drops of alcohol to the earth, offering a leaf of coca or two, or perhaps a tiny round Bolivian sweet such as one finds in native markets everywhere. When alcohol is involved, as in the case of making a purchase, the participants to the bargain may drink some themselves from a tiny silver cup called tilinki , after having offered a libation to the spirits. In more pretentious and important sacrifices a favorite object is the aborted fetus of a llama. Coca, of course, is ubiquitous in Aymara sacrificial offerings. Another favorite substance is fat of the jaguar or utur-uncu , or other animal fat, particularly from the puma or the llama."
85,"Mass for the Apostles. Skulls of the 'apostles' are present at Mass. Officiant sets up tumbu, two tables and a box, in his home, this create a number of steps on which the skulls are placed. After mass the oldsters eat 12 sheep heads"
86,"Fishing Magic. If the fishing is poor, the Illacata calls for a ritual on some sunny day at the chaulla-ccalu (fishing-place) in the village of Uinamarca, in order to propitiate the demons of the Lake who have become angy over the neglect of men. The participants come out dressed in their best clothes in the balsas, with bundles of grass wound around the end of their punting poles. The Illacata goes ahead with the net, accompanied by a boatman and two musicians, one with a tassel-bedecked drum, and the other playing a flute wrapped in silver paper. The silver flute must hold forth mightily because it must reach as far as the graves in the fishing towns on the northernmost Peruvian shore, e.g., Viru. With the drum beating and the flute sounding, the fishermen range themselves in a line. Punting themselves with their long poles, they finally reach the open water, where they use it as a rudder. Carefully the participants avoid the fishing places of the neighboring villages. As soon as the boatman of the leading balsa throws the net into the water, the others draw off in order little by little to close in a wide circle around the leading boat. At a given signal on the flute, they put their poles down to the bottom of the Lake, lashing the water with wild blows, and ever narrowing the circle. When the balsas touch each other, every other one remains behind, then two and three, until finally they make a close circle around the leader. The fifteen or so balsas of the inner circle join their bows at the floating ends of the net, whose end stays fixed to the Illacata's balsa. The flute in the center silent, the boatmen outside beat the water again with lusty strokes. Then the net is pulled up and the haul sorted out in the balsa of the Illacata. The best products of the fishing, among them the Boga (Orestias) they put in a big metal pot full of water, the rest they throw away again. Then they all wait upon a curious old custom. All the respected elder men, according to their age and rank, approach, and each takes one of the fish, squeezes the gills together in order to open the fish's mouth. The Illacata places a coca leaf in each and sprinkles a few drops of chicha with a magic formula, so that the fish may be fruitful and multiply in order to feed the hungry people. Again the drum beats and the flute sounds far over the water."
87,"After a month of seclusion when the child is hidden from public view, the soul is expected to have found its place in the child's body. A ceremony called ki'n ha[unknown] (water ceremony) then takes place with the mother and grandmother in attendance. The three enter the sweatbath, and the mother and child are bathed in hot water and then cold. the child cries frequently, it is suspected that his soul is still not firmly lodged and has been wandering in the streets where it encounters animal spirits that frighten him. This requires a soul-calling ceremony performed in the house in which he lives."
88,"The midwife, the only person present besides the mother, performs the ritual. She puts cold water in the child's mouth and then goes to the door, saying, “Enter if you arrive, little boy [or little girl].” Then she brushes the child with pine branches dipped in springwater, and smokes with incense of pitch pine the clothing which is then put on the child. The incense “makes a path for the soul to find the body of the child.” As she does this, she says, “May your heart be one now that you are in the house.” This ceremony is always performed when the child is born outside his parents' residence is order to guide his soul to its proper locale."
89,"Three days later, a ceremony called sti[unknown] mut (eat the chicken) takes place. Only women attend this meal. In one case I observed, the child's mother, her three sisters, mother, and husband's cousin attended. Each woman brings a peso's worth of bread, some chocolate, and ten tortillas. Two hens are cooked in boiling water, and the food is eaten by the women."
90,"Baptism, called “throw the water” ( [unknown]i[unknown] ha[unknown] ) occurs as soon as possible after the new-born child's twentieth day of life. If the parents of the child live with either the mother's or the father's family, the grandparents will choose the godparent, or padrino. significant factor in the choice of compadres is maintaining good neighbor relations. Most families surround themselves with a ring of compadres which neutralizes both the fear of being the object of witchcraft and of being accused of witchcraft. Factors of wealth, prestige, and status positions--particularly that of fiscal--are also taken into consideration in choosing a compadre. On the day of baptism, the child is dressed in clothing given by his godparents. The parents and grandparents of the child go together with the godparent to the church. While the child is being baptized by the priest, he is held by his godfather if he is a boy, or by her godmother if a girl. The priest throws water and salt on the child and prays over him, baptizing him in the name of the Father, the Son, and the Holy Ghost. After the ceremony the participants embrace the child and each other in front of the church, symbolizing the status they now occupy in respect to the child, his grandparents, and parents. Without this performance, the ritual terms of comadre, compadre, or padrino cannot be used."
91,"The church ceremony is followed by another ceremony in the house of the child's parents. As the group returning from the church enters the house, they are greeted with the pat[unknown]o[unknown]tan by the maliwanehetik who are waiting for them in the house. As they enter, each of the returning party says, “You go forward, kumpare.” They embrace all of the waiting party, an act which establishes their relationship as compadres with the entire company. When the padrinos leave, the grandparents and parents of the child go to a spot before the eaves outside the house; there the father of the child serves liquor to the padrinos and the grandparents of the child. The drink is called “the finale as the compadres leave.” The group must finish the entire liter “since it is a gift,” and if there are only one or two grandparents, they may get fairly drunk. As the compadres leave, the grandpaernts say, “Over the soil, over the mud where you take your holy godchild, your holy flower, your holy candle.” The child, referred to metaphorically as holy flower, holy candle, is identified with the most sacred symbols of the culture."
92,"Fiesta for the Patron Saint. The fiesta of the patron of each village is similar to that for any other saint but larger. There are Masses and other religious observances in the church, processions with the image of the saint along the main streets, large meals at the house of the cargoholders, and, above all, constant drinking in and out of church. From the second day on, everybody is drunk including women and young people. The sound of skyrockets is heard continuously and marks the gaiety of the people. An important part of the ceremony at the church is to clean carefully the face of the saint and to change his clothes for new or at least clean ones so that he can be happy during his fiesta. Another act is to take his image from the main altar to carry it in procession. This is important because there is danger that the patron of other villages may come to steal his power and he would then lose influence over the crops: the saint of Oxchuc helps the growth of corn, the one of Cancuc protects the cotton, and so on. To avoid this danger a substitute image is put in his place while the real one is taken out. This substitute is called gelol , the same image but smaller, which is kept next the original one."
93,"The veneration of the talking saints, a widespread cult among the Tzeltal and Tzotzil. These saints are always private property and are usually kept in a small case on the house altar. The believers go to the house of those who own a talking saint and ask him about any secret problem that might require a special knowledge to be solved. Although any saint can be asked, the most popular one is San Miguelito. In order to consult him, people have to tell his owner their problems. The owner, who supposedly is the only one who can understand his saint, talks to him behind a curtain so that no one can see him. Sometimes there is no box, so the effigy is placed on an altar and concealed by a curtain when the private dialogue takes place. (Often the owner of a talking saint succeeds in creating a cult out of the saint's box, making a special altar for him and asking the believers for frequent offerings and prayers)"
94,
95,
96,
97,
98,
99,
100,"After about an hour spent in this way, the company rushed out with a good deal of laughter and talking to a small mufungo tree that stood on the village garden mounds. The two girls trailed behind, covered by blankets, pushed and shoved along by the younger helpers. There were no men present and young children were warned off by excited screams. Nangoshye sat down by the mufungo tree and began pulling out leaves with her mouth. Then she made the girls crouch against the stem of the tree while the women built a sort of windscreen of branches round them. This was described as ‘hiding the girls’. Quite suddenly, Nangoshye shouted new directions. With screams of merriment, each women began to snatch at a mufungo bush for leaves. These pear-shaped leaves they folded into cones to resemble the small conical fish traps used by the Bemba. They sang a song about setting fish traps and ran round laughing as they pretended to catch each others’ fingers in the leaf traps. More shouted orders from Nangoshye and the piled-up branches were snatched away from round the girls as they cowered at the foot of the tree. The boughs were stacked on their backs and roughly tied, and they were made to crawl a few yards in this position. Then the branches were pulled off again and piled into a heap about two feet high. The girls were told to jump over it. Both scuttled across the open space like frightened rabbits to the accompaniment of screams of encouragement and threats from all around. (‘Don’t tremble!’ ‘Don’t be frightened, you silly girls.’ ‘Jump now! Jump high.’) The girls were evidently nervous to a degree, and one failed to manage the moderate jump expected and had to try again and again. When both the girls were over, there was an outburst of congratulation. Nangoshye rubbed red cam wood ( nkula ) on the faces and shoulders of all the older women present and on me as the giver of the chisungu. This red powder used to be rubbed on returning warriors and men who had passed successfully through the poison ordeal; and it is still daubed on lion-killers. Nangoshye picked up her paternal niece and carried her across her back, and the other girl was shouldered by her own father’s sister. The two old women led the procession back to the village carrying the girls shoulder high as chiefs or brides are carried as a sign of honour."
101,"The First Woodland Ceremony. The banacisungu (neophytes) were bundled in under rugs as before. Each was then hobbled by having one foot strapped with bark rope to her thigh, so she could only hop on the remaining leg, and had to be supported by an older woman. Outside the village, the girls’ legs were untied but they still had to walk naked except for a cloth around the waist. They strode in front with heads hanging in acute shame. Behind them came a swarm of gesticulating women, running, shouting and scrambling. The young girls of the village followed behind carrying drums on their heads. We stopped at a large musuku tree, about an hour’s walk away from the village. The base of the tree was quickly cleared of undergrowth with a hoe, and Nangoshye and her younger helpers began hopping round the trunk of the tree like frogs followed by the banacisungu. They sang ‘O, you wild pig, come and hoe up the rough grass.’ After about ten minutes, the group broke up and formed up again into another dance representing the guinea-fowl. The women pretended to churn up the ground with their feet and sang calling on the birds to come. ‘You guinea-fowl come here and wait!’. All the main actors then pretended to sow seeds they had brought with them in a basket—maize, ground nuts and beans. After ‘sowing’ them, they scraped the seeds up with their hands, singing. The heat was now intense. Sweat poured down Nangoshye’s face and back, but she was indefatigable. She kept urging her helpers and the banacisungu to sing louder and to dance harder. She then picked up the maize cob in her mouth and gave it to the girls to bite. The maize cob was then tied with special creepers to a branch of the tree, and Nangoshye and the two elder women dodged to get it into their mouths. Then a girl climbed up and tied the maize cob to a high bough. The banacisungu had to try to climb up, legs first. They were finally helped on to the bough by the younger helpers. Bundles of domestic emblems were now made up. These consisted of things commonly used in daily life—firewood, salt, meat, tobacco, the various seeds used in cooking, red cam wood powder, twigs of trees with magic properties and particularly of the woman’s trees. There followed an interminable series of songs. The initiation candidates hung uncomfortably from the branches of the tree, while beneath the emblems were offered, taken in the mouth and honoured by each of the women in turn, the company singing. At last, the girls were brought down from the tree and with five or six of the younger helpers they were told to lead a round dance. They were shy, tied and awkward, and the dance went lamely. It was evidently important, however, that an impression of jollity should be given for the older women sat round them screeching vehemently, ‘Rejoice, can’t you? You girls, why can’t you manage to rejoice?’ Asked why this was necessary, Nangoshye said shortly, ‘They must do it for respect.’ It was now between one and two o’clock, and we turned to go back to the village. As we went, two women dashed across the front of the procession shouting. They had armed themselves with toy bows and arrows and had tied twigs round their heads. They had leaf cups similar to those of the fish trap ceremony hung all over them. They were shouldering a long sapling on which hung a piece of ant-hill to represent a load. They had stained themselves all over with the red power. These were the sisters of the bridegrooms and they were greeted with shrieks of delighted laughter, ‘Here come the bridegrooms.’ The two women imitated the swaggering gait of young gallants, and pretended to speak in bass voices. They carried male symbols—the bow and arrow, the red cam wood powder of the successful warrior and lion-killer, and the salt, which the husband had to fetch for the household in the old days. We formed into a triumphant procession as we neared the village. Everyone carried branches or imitation bundles of firewood on their backs. Even the children who ran in front, shouting, had tiny faggots strapped on their backs. The mock bridegrooms followed and behind them came the banacisungu with the emblem bundles strapped on to their shoulders. As we got near the first houses, the two girls were made to crawl single file with some of their companions, and then they were hidden by a couple of mats carried like a screen round them. The women waved their branches to and fro and began to surge first forward and then backward—four steps forward very slowly behind the crawling girls, and then four steps backward. They sang again and again. The procession wound interminably on, forward and back, forward and back, until we reached the house of one of the girl’s mothers. Here the banacisungu were told to lie down and to put their heads first on a bunch of sorghum and then on some clusters of finger millet. These are the two most important cereal foods of the tribe. The seeds had been thrown there by the girl’s mother. The mock bridegrooms suddenly reappeared, pretending this time to be lame old men who could hardly walk. Again the same delighted screams of, ‘Here are the shibwinga ’ and the shouted badinage with the mock old men, who came this time with horns of leaves on their heads. The company started singing a song about fetching salt."
102,"Test of maturity, We crowded into the hut in which the fire had been extinguished preparatory to its ritual relighting later in the day. Two large water pots were set on the floor and into each was put one of the little darting water insects known as njelela . The dancing and the drumming started up and Nangoshye alternately jogged up and down on bent knees and tried to catch the little insects in her mouth. It seemed an almost impossible task and she failed, after many efforts, and much encouragement. Then the two girls themselves set to work, this time with unwonted animation. Both succeeded in catching an njelela and spitting it into the hands of Nangoshye to the sound of much clapping and ululation."
103,
104,"The teasing of the girls (ukubacushya) Nangoshye put a basket on her head covered with a white cloth. She knelt on the ground and danced up and down with it, finally offering it to the two banacisungu in turn. Everyone watched anxiously to see whether they would cry. One girl burst into tears at once and was greeted with roars of appreciative laughter. The other did not weep at all, and was immediately smacked by her relatives who shouted, ‘You child you! Cry a bit! Cry a little bit!’ The excitement rose as the women burst into a crooning song, ‘I make you cry. . . .’ The rest of the evening was spent in similar efforts to make the banacisungu cry. I watched seven different singing games in which the girls were pulled about and tormented. Their legs were stretched out; the backs and faces were rubbed with dust (‘to teach them to wash’). They were rolled on the ground; they were pummelled all over; they were stood against the wall and made to imitate a crying noise, which the shyer of the two completely failed to do. They were swung to and fro by fingers hooked inside their mouths. Their heads were bound with grass above the eyes so that the eye-balls stood out. The two girls were strained and taut, under a constant fire of criticism, and apparently simply concentrated on following blindly the commands shouted at them. The company sometimes gave the impression of boisterous high spirits and sometimes seemed to be acting as though they were bravely carrying out a tedious duty. If the games flagged for an instant, Nangoshye shouted, peremptorily, ‘Come on, friends. We must keep on tormenting the banacisungu ’ and the weary women started up another song. Most of the songs had some moral associated with them"
105,"Ninth day. It was a day of offering and receiving offerings—from the girls’ mothers to the banacimbusa; from the younger nacimbusa to the older in order of seniority; from the initiated women to the girls. It was a display of ceremonial obligation, of precedence, of mucinci, to use the common Bemba term. The younger helpers danced with the porridge bowls on their heads while the banacisungu were pushed in backwards, again on all fours, to the singing of the entering-in song. The porridge bowls were ceremonially uncovered and covered again with ululation. The girls’ paternal relatives seized the dishes and offered them to all present in order of seniority. The bowls were then put on the girls’ own heads and they were made to dance round with them to show their respect to the banacimbusa present. The hidden mbusa were now to be shown to the company. Nacitembo, as the oldest woman present and the representative of the father’s side of one girls’ families, danced holding the small balls of porridge filled with the domestic emblems. The two girls were stood against the wall under their own wall marks. Paternal relatives stood one on each side of them and passed the balls with the hidden emblems from side to side across them. This was to make them free to eat all the foods. It was, in other words, the removal of the girls’ food taboos. The company burst into song which goes with the representation of the washing of the husband’s hands, and the girls’ hands were washed. The paternal aunt danced out in front and kept pretending to show the hidden mbusa to the girls and fighting with Nangoshye who pretended reluctance to let them be seen. A younger nacimbusa, dancing with great vitality and charm, bent as though to pour water on the hands of every woman present in order of the assembled hierarchy. She pretended to whitewash the floor beneath each and bowed low to clap obeisance. The company were roused to excitement immediately. To my questions they whispered: ‘That is respect!’ ‘That is how the woman honours her husband. That is how he knows she has been taught. If a woman does not know how to wash her husband’s hands, he will say, “That is not a woman. She is like someone who hasn’t been danced!” ’The tension seemed to break. The ceremony was over. The porridge was divided up in a business-like way and each family took its portion. There was scrapping about the size of the bowls and a general return to normal life"
